City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Ust-Shonosha,RU,2021-05-24 17:01:32,61.1531,41.343,49.68,87,93,11.9
141,Antofagasta,CL,2021-05-24 17:00:59,-23.65,-70.4,70.21,57,96,6.55
142,Rio Grande,BR,2021-05-24 17:01:33,-32.035,-52.0986,61.95,58,6,19.73
143,Sao Francisco De Assis,BR,2021-05-24 17:01:33,-29.5503,-55.1311,60.39,57,0,9.01
144,Raudeberg,NO,2021-05-24 17:01:34,61.9875,5.1352,60.58,88,100,12.28
145,Chumikan,RU,2021-05-24 17:01:34,54.7183,135.315,32.38,98,100,22.86
146,Saint-Leu,RE,2021-05-24 17:01:34,-21.15,55.2833,70.66,79,26,15.46
147,Hilo,US,2021-05-24 16:56:42,19.7297,-155.09,85.28,83,26,3.0
148,Lavrentiya,RU,2021-05-24 17:01:35,65.5833,-171.0,32.5,79,98,14.29
149,Rockport,US,2021-05-24 16:56:46,28.0206,-97.0544,86.25,84,40,7.0
150,Takoradi,GH,2021-05-24 17:01:35,4.8845,-1.7554,83.57,71,55,8.66
151,Bahia Blanca,AR,2021-05-24 16:58:25,-38.7196,-62.2724,63.7,49,13,18.54
152,Geraldton,AU,2021-05-24 17:01:36,-28.7667,114.6,57.61,64,90,9.53
153,Torbay,CA,2021-05-24 17:01:36,47.6666,-52.7314,38.75,79,99,5.01
154,Dudinka,RU,2021-05-24 17:01:36,69.4058,86.1778,29.44,96,100,20.87
155,Seymchan,RU,2021-05-24 17:01:37,62.8833,152.4333,46.51,68,93,3.24
156,Taiyuan,CN,2021-05-24 17:01:37,37.8694,112.5603,53.46,18,0,6.06
157,Roald,NO,2021-05-24 17:01:14,62.5833,6.1333,61.72,93,40,18.41
158,Fairbanks,US,2021-05-24 16:58:56,64.8378,-147.7164,57.22,63,2,3.6
159,Bulawayo,ZW,2021-05-24 17:01:38,-20.15,28.5833,54.91,53,0,7.72
160,Henties Bay,NA,2021-05-24 17:01:38,-22.116,14.2845,71.19,57,2,9.8
161,Kulhudhuffushi,MV,2021-05-24 17:01:38,6.6221,73.07,84.61,76,100,22.91
162,Kaitangata,NZ,2021-05-24 17:01:39,-46.2817,169.8464,41.94,85,14,2.91
163,Mount Isa,AU,2021-05-24 17:01:39,-20.7333,139.5,60.57,63,75,0.0
