City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,San Quintin,MX,59.43,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
157,Aksu,CN,85.98,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
158,Saldanha,ZA,62.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
160,Shaping,CN,81.82,moderate rain,22.7545,112.9565,Heshan Phoenix Hotel
163,Sabang,ID,83.8,light rain,5.8933,95.3214,Hotel Citra
164,Somerset,US,53.6,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
165,Hrodna,BY,62.6,broken clouds,53.6884,23.8258,Гостиница Семашко на Антонова
166,Chapais,CA,55.18,clear sky,49.7834,-74.8492,Hôtel Opémiska
167,Mazagao,BR,82.45,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
168,Port Blair,IN,84.29,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
170,Les Cayes,HT,79.61,broken clouds,18.2,-73.75,Villa Orphee
171,Cody,US,50.2,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
172,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
173,Alta Floresta,BR,73.13,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
174,Lazaro Cardenas,MX,80.24,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
175,Zeerust,ZA,70.61,scattered clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
176,Arraial Do Cabo,BR,73.36,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
177,Klaksvik,FO,54.52,broken clouds,62.2266,-6.589,Airbnb rooms
178,Guozhen,CN,84.31,overcast clouds,34.3659,107.359,Yucai Hotel
181,Daultala,PK,83.1,overcast clouds,33.1925,73.1413,Waheed garmints and cosmetic
182,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
183,Tocopilla,CL,64.72,overcast clouds,-22.092,-70.1979,Hotel Galvarino
184,Homer,US,51.04,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
185,Atlantic Beach,US,77.05,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
188,Kavieng,PG,80.46,moderate rain,-2.5744,150.7967,Nusa Island Retreat
189,Balakhta,RU,59.94,scattered clouds,55.38,91.6,Bereg
190,Segou,ML,99.45,overcast clouds,13.4317,-6.2157,Comme chez soi
191,Ahuimanu,US,74.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
193,Hithadhoo,MV,84.06,scattered clouds,-0.6,73.0833,Scoop Guest House
194,Kavaratti,IN,83.68,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
195,Yola,NG,93.02,clear sky,9.2,12.4833,Muna Hotel
196,Alakurtti,RU,53.26,broken clouds,66.9672,30.3491,Agroturystyka Gientosław
197,Sungaipenuh,ID,66.49,moderate rain,-2.0833,101.3833,Hotel Jaya Wisata 2
198,Ciro Marina,IT,68.0,scattered clouds,39.3732,17.126,Hotel Miramare
199,Nosy Varika,MG,78.91,clear sky,-20.5833,48.5333,Hotel Volazara
201,Namangan,UZ,93.2,clear sky,40.9983,71.6726,Oydin Plaza
202,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
203,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
206,Port Alfred,ZA,68.59,overcast clouds,-33.5906,26.891,The Halyards Hotel
207,Medea,DZ,70.25,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
208,Mugumu,TZ,79.34,broken clouds,-1.85,34.7,Lemala Mara
209,Potenza,IT,70.92,broken clouds,40.6443,15.8086,Park Hotel Centro Congressi
210,Parabel,RU,80.58,broken clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
211,College,US,56.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
213,Santiago Del Estero,AR,51.21,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
214,Asfi,MA,67.66,broken clouds,32.2994,-9.2372,Hôtel Abda
217,Bokino,RU,51.1,overcast clouds,52.6374,41.4597,Отель 24
218,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
219,Constitucion,CL,57.85,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
220,Kumbo,CM,68.74,moderate rain,6.2,10.6667,Western Inn Resort
221,Prainha,BR,77.63,moderate rain,-1.8,-53.48,Casa Rocha
222,Tommot,RU,52.81,light rain,58.9564,126.2925,Gostinitsa Tommot
223,Pajapan,MX,80.6,mist,18.25,-94.7,Hotel Del Carmen
225,Biak,ID,77.45,broken clouds,-0.9131,122.8766,Penginapan Kim
226,Dhidhdhoo,MV,83.26,broken clouds,6.8833,73.1,Dhidhoo beach
227,Popondetta,PG,73.76,overcast clouds,-8.7537,148.2534,Timos Transit House
228,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
232,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
233,Kaitangata,NZ,50.94,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
234,Kimbe,PG,76.53,light rain,-5.5502,150.1429,Kimbe Bay Hotel
237,Wanning,CN,85.08,overcast clouds,18.8003,110.3967,Paradise Hotel
238,Inongo,CD,80.1,broken clouds,-1.95,18.2667,Hotel Du Lac
239,Bulata,PH,80.85,overcast clouds,9.8599,122.4016,Punta Bulata Resort & Spa
240,Axim,GH,81.52,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
241,San Patricio,US,80.44,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
242,Kaeo,NZ,51.01,clear sky,-35.1,173.7833,Bushido Lodge
243,Port Hardy,CA,53.6,light rain,50.6996,-127.4199,Airport Inn
244,Puerto Ayora,EC,73.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
245,Katherine,AU,71.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
246,Bardiyah,LY,77.76,clear sky,31.7561,25.0865,بورتو بردية
249,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
250,Jiaonan,CN,69.82,light rain,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
251,Ottawa,CA,56.71,few clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
252,Salalah,OM,87.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
