City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,San Jeronimo,PE,-11.9472,-75.2829,48.72,80,100,2.3,overcast clouds
109,Faya,SA,18.3851,42.4509,88.32,10,1,18.75,clear sky
110,Itoman,JP,26.1247,127.6694,77.4,85,75,13.8,broken clouds
111,Qaanaaq,GL,77.484,-69.3632,32.09,89,100,4.61,overcast clouds
112,Goya,AR,-29.14,-59.2626,49.14,60,0,1.68,clear sky
113,Mayo,US,38.8876,-76.5119,59.18,83,1,5.99,clear sky
114,Lebu,CL,-37.6167,-73.65,57.18,97,100,8.23,moderate rain
115,Saint-Philippe,RE,-21.3585,55.7679,80.47,73,3,8.48,clear sky
116,Prien,US,30.1819,-93.2738,69.78,87,90,1.01,overcast clouds
117,Puro,PH,12.4841,123.3827,84.56,72,84,1.66,broken clouds
118,Longyearbyen,SJ,78.2186,15.6401,37.24,60,75,3.44,broken clouds
119,Talnakh,RU,69.4865,88.3972,34.45,87,100,9.6,overcast clouds
120,Half Moon Bay,US,37.4636,-122.4286,59.32,86,1,2.86,clear sky
121,Iqaluit,CA,63.7506,-68.5145,33.53,80,90,8.01,overcast clouds
122,Tasiilaq,GL,65.6145,-37.6368,35.6,87,20,3.44,few clouds
123,Dailly,CH,46.2,7.0333,69.01,66,4,3.0,clear sky
124,Samarai,PG,-10.6167,150.6667,79.23,78,87,20.04,overcast clouds
125,Banda Aceh,ID,5.5577,95.3222,82.08,77,93,12.5,light rain
126,Talwandi Bhai,IN,30.85,74.9333,104.5,16,21,22.41,few clouds
127,Broken Hill,AU,-31.95,141.4333,50.0,46,62,4.61,light rain
128,Alofi,NU,-19.0595,-169.9187,73.4,94,94,1.14,light rain
129,Palmer,US,42.1584,-72.3287,51.91,86,90,1.01,overcast clouds
130,Roma,US,43.2128,-75.4557,54.9,92,90,4.61,overcast clouds
131,Victoria,HK,22.2855,114.1577,86.04,85,100,1.99,moderate rain
132,Georgetown,MY,5.4112,100.3354,87.89,68,20,4.61,light rain
133,Ouallam,NE,14.3188,2.0866,105.91,14,2,1.61,clear sky
134,Lewiston,US,44.1003,-70.2148,51.37,96,90,11.5,overcast clouds
135,Denpasar,ID,-8.65,115.2167,80.26,83,20,1.72,few clouds
136,Navoi,UZ,40.0844,65.3792,104.0,8,9,6.91,clear sky
137,Tuatapere,NZ,-46.1333,167.6833,49.82,84,96,2.04,overcast clouds
138,Ketchikan,US,55.3422,-131.6461,55.38,97,100,4.5,light rain
139,Shieli,KZ,44.1667,66.75,103.68,10,47,7.83,light rain
140,Tessalit,ML,20.1986,1.0114,109.15,5,6,11.97,clear sky
141,Port Lincoln,AU,-34.7333,135.8667,58.03,55,100,1.57,overcast clouds
142,Airai,TL,-8.9266,125.4092,61.16,94,99,1.23,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,41.72,74,62,11.95,broken clouds
144,Opuwo,NA,-18.0607,13.84,81.09,14,87,10.49,overcast clouds
145,Cherskiy,RU,68.75,161.3,57.69,36,22,5.57,few clouds
146,Yerbogachen,RU,61.2767,108.0108,62.91,51,48,4.9,scattered clouds
147,Vokhma,RU,58.9303,46.7586,56.12,35,17,5.28,few clouds
148,Hermanus,ZA,-34.4187,19.2345,63.81,71,28,14.29,light rain
149,Morococha,PE,-11.5997,-76.1411,35.47,89,99,5.32,overcast clouds
150,Kiama,AU,-34.6833,150.8667,49.57,85,2,5.73,clear sky
151,Tupik,RU,54.4253,119.9327,50.88,95,100,9.1,light rain
152,Xixiang,CN,35.1628,112.865,85.42,35,73,3.89,light rain
153,Andenes,NO,69.3143,16.1194,49.98,76,75,13.8,broken clouds
154,Cap Malheureux,MU,-19.9842,57.6142,81.09,67,6,5.01,clear sky
155,Beringovskiy,RU,63.05,179.3167,31.64,89,42,10.02,scattered clouds
156,San Quintin,MX,30.4833,-115.95,59.43,82,38,4.03,scattered clouds
157,Aksu,CN,41.1231,80.2644,85.98,19,68,12.91,broken clouds
158,Saldanha,ZA,-33.0117,17.9442,62.65,62,24,11.5,few clouds
159,Provideniya,RU,64.3833,-173.3,41.02,60,100,6.58,overcast clouds
160,Shaping,CN,22.7545,112.9565,81.82,72,99,6.24,moderate rain
161,Nemuro,JP,43.3236,145.575,41.27,85,71,14.52,broken clouds
162,Matongo,TZ,-2.3833,34.0833,80.73,46,92,4.23,overcast clouds
163,Sabang,ID,5.8933,95.3214,83.8,72,91,19.86,light rain
164,Somerset,US,40.5668,-74.5496,53.6,82,75,4.61,broken clouds
165,Hrodna,BY,53.6884,23.8258,62.6,29,75,6.71,broken clouds
166,Chapais,CA,49.7834,-74.8492,55.18,56,1,6.71,clear sky
167,Mazagao,BR,-0.115,-51.2894,82.45,81,16,2.19,few clouds
168,Port Blair,IN,11.6667,92.75,84.29,73,19,6.93,few clouds
169,Nizwa,OM,22.9333,57.5333,105.15,11,15,13.6,few clouds
170,Les Cayes,HT,18.2,-73.75,79.61,76,51,3.85,broken clouds
171,Cody,US,44.5263,-109.0565,50.2,47,1,4.61,clear sky
172,San Andres,CO,12.5847,-81.7006,82.42,78,20,11.5,few clouds
173,Alta Floresta,BR,-9.8756,-56.0861,73.13,68,54,1.77,broken clouds
174,Lazaro Cardenas,MX,17.9583,-102.2,80.24,76,91,4.16,overcast clouds
175,Zeerust,ZA,-25.5369,26.0751,70.61,31,29,13.56,scattered clouds
176,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,6.91,heavy intensity rain
177,Klaksvik,FO,62.2266,-6.589,54.52,93,63,14.41,broken clouds
